seat_id,x,y,row,section,n_test,median_error_m,mean_error_m,correct_seat_rate
R02-C01,3.772,4.0,2,Center,1,1.678772170367379,1.678772170367379,0.0
R07-C03,6.12,10.0,7,Center,1,1.6787721703673786,1.6787721703673786,0.0
R05-C05,8.468,7.6,5,Center,1,1.200000000000001,1.200000000000001,0.0
R08-C03,6.12,11.2,8,Center,1,1.200000000000001,1.200000000000001,0.0
R04-C03,6.12,6.4,4,Center,1,1.1999999999999993,1.1999999999999993,0.0
R09-C03,6.12,12.4,9,Center,1,1.1739999999999995,1.1739999999999995,0.0
R07-R02,11.71,10.0,7,Right,1,1.0600000000000005,1.0600000000000005,0.0
R02-R02,11.71,4.0,2,Right,1,1.0600000000000005,1.0600000000000005,0.0
R02-R01,10.65,4.0,2,Right,1,1.0600000000000005,1.0600000000000005,0.0
R05-R02,11.71,7.6,5,Right,1,1.0600000000000005,1.0600000000000005,0.0
R01-C03,6.12,2.8,1,Center,1,0.0,0.0,1.0
R02-C02,4.946,4.0,2,Center,1,0.0,0.0,1.0
R01-R02,11.71,2.8,1,Right,1,0.0,0.0,1.0
R01-C01,3.772,2.8,1,Center,1,0.0,0.0,1.0
R01-C02,4.946,2.8,1,Center,1,0.0,0.0,1.0
R01-L02,1.59,2.8,1,Left,1,0.0,0.0,1.0
R01-R01,10.65,2.8,1,Right,1,0.0,0.0,1.0
R01-L01,0.53,2.8,1,Left,1,0.0,0.0,1.0
R01-C04,7.294,2.8,1,Center,1,0.0,0.0,1.0
R03-C01,3.772,5.2,3,Center,1,0.0,0.0,1.0
R03-C02,4.946,5.2,3,Center,1,0.0,0.0,1.0
R03-C04,7.294,5.2,3,Center,1,0.0,0.0,1.0
R03-C03,6.12,5.2,3,Center,1,0.0,0.0,1.0
R03-L01,0.53,5.2,3,Left,1,0.0,0.0,1.0
R03-L02,1.59,5.2,3,Left,1,0.0,0.0,1.0
R03-R01,10.65,5.2,3,Right,1,0.0,0.0,1.0
R03-C05,8.468,5.2,3,Center,1,0.0,0.0,1.0
R03-R02,11.71,5.2,3,Right,1,0.0,0.0,1.0
R04-C01,3.772,6.4,4,Center,1,0.0,0.0,1.0
R02-C03,6.12,4.0,2,Center,1,0.0,0.0,1.0
R02-C04,7.294,4.0,2,Center,1,0.0,0.0,1.0
R02-L01,0.53,4.0,2,Left,1,0.0,0.0,1.0
R02-C05,8.468,4.0,2,Center,1,0.0,0.0,1.0
R02-L02,1.59,4.0,2,Left,1,0.0,0.0,1.0
R01-C05,8.468,2.8,1,Center,1,0.0,0.0,1.0
R04-R01,10.65,6.4,4,Right,1,0.0,0.0,1.0
R04-L02,1.59,6.4,4,Left,1,0.0,0.0,1.0
R04-L01,0.53,6.4,4,Left,1,0.0,0.0,1.0
R04-C05,8.468,6.4,4,Center,1,0.0,0.0,1.0
R04-C04,7.294,6.4,4,Center,1,0.0,0.0,1.0
R04-C02,4.946,6.4,4,Center,1,0.0,0.0,1.0
R05-C02,4.946,7.6,5,Center,1,0.0,0.0,1.0
R05-C03,6.12,7.6,5,Center,1,0.0,0.0,1.0
R05-L02,1.59,7.6,5,Left,1,0.0,0.0,1.0
R05-R01,10.65,7.6,5,Right,1,0.0,0.0,1.0
R06-C01,3.772,8.8,6,Center,1,0.0,0.0,1.0
R06-C02,4.946,8.8,6,Center,1,0.0,0.0,1.0
R06-C03,6.12,8.8,6,Center,1,0.0,0.0,1.0
R05-C04,7.294,7.6,5,Center,1,0.0,0.0,1.0
R05-L01,0.53,7.6,5,Left,1,0.0,0.0,1.0
R04-R02,11.71,6.4,4,Right,1,0.0,0.0,1.0
R06-L01,0.53,8.8,6,Left,1,0.0,0.0,1.0
R06-C05,8.468,8.8,6,Center,1,0.0,0.0,1.0
R06-C04,7.294,8.8,6,Center,1,0.0,0.0,1.0
R06-L02,1.59,8.8,6,Left,1,0.0,0.0,1.0
R07-C01,3.772,10.0,7,Center,1,0.0,0.0,1.0
R07-C02,4.946,10.0,7,Center,1,0.0,0.0,1.0
R06-R02,11.71,8.8,6,Right,1,0.0,0.0,1.0
R06-R01,10.65,8.8,6,Right,1,0.0,0.0,1.0
R07-C05,8.468,10.0,7,Center,1,0.0,0.0,1.0
R07-C04,7.294,10.0,7,Center,1,0.0,0.0,1.0
R07-L02,1.59,10.0,7,Left,1,0.0,0.0,1.0
R07-L01,0.53,10.0,7,Left,1,0.0,0.0,1.0
R07-R01,10.65,10.0,7,Right,1,0.0,0.0,1.0
R08-C01,3.772,11.2,8,Center,1,0.0,0.0,1.0
R08-C02,4.946,11.2,8,Center,1,0.0,0.0,1.0
R05-C01,3.772,7.6,5,Center,1,0.0,0.0,1.0
R08-C04,7.294,11.2,8,Center,1,0.0,0.0,1.0
R08-C05,8.468,11.2,8,Center,1,0.0,0.0,1.0
R08-L02,1.59,11.2,8,Left,1,0.0,0.0,1.0
R08-L01,0.53,11.2,8,Left,1,0.0,0.0,1.0
R08-R01,10.65,11.2,8,Right,1,0.0,0.0,1.0
R08-R02,11.71,11.2,8,Right,1,0.0,0.0,1.0
R09-C01,3.772,12.4,9,Center,1,0.0,0.0,1.0
R09-C02,4.946,12.4,9,Center,1,0.0,0.0,1.0
R09-C04,7.294,12.4,9,Center,1,0.0,0.0,1.0
R09-C05,8.468,12.4,9,Center,1,0.0,0.0,1.0
R09-L01,0.53,12.4,9,Left,1,0.0,0.0,1.0
R09-L02,1.59,12.4,9,Left,1,0.0,0.0,1.0
R09-R01,10.65,12.4,9,Right,1,0.0,0.0,1.0
R09-R02,11.71,12.4,9,Right,1,0.0,0.0,1.0
R10-C01,3.772,13.6,10,Center,1,0.0,0.0,1.0
R10-C02,4.946,13.6,10,Center,1,0.0,0.0,1.0
R10-C03,6.12,13.6,10,Center,1,0.0,0.0,1.0
R10-C04,7.294,13.6,10,Center,1,0.0,0.0,1.0
R10-C05,8.468,13.6,10,Center,1,0.0,0.0,1.0
R10-L01,0.53,13.6,10,Left,1,0.0,0.0,1.0
R10-L02,1.59,13.6,10,Left,1,0.0,0.0,1.0
R10-R01,10.65,13.6,10,Right,1,0.0,0.0,1.0
R10-R02,11.71,13.6,10,Right,1,0.0,0.0,1.0
R11-C01,3.772,14.8,11,Center,1,0.0,0.0,1.0
R11-C02,4.946,14.8,11,Center,1,0.0,0.0,1.0
R11-C03,6.12,14.8,11,Center,1,0.0,0.0,1.0
R11-C04,7.294,14.8,11,Center,1,0.0,0.0,1.0
R11-C05,8.468,14.8,11,Center,1,0.0,0.0,1.0
R11-L01,0.53,14.8,11,Left,1,0.0,0.0,1.0
R11-L02,1.59,14.8,11,Left,1,0.0,0.0,1.0
R11-R01,10.65,14.8,11,Right,1,0.0,0.0,1.0
R11-R02,11.71,14.8,11,Right,1,0.0,0.0,1.0
