sample_id,seat_id,row,section,seat_number,true_x,true_y,true_z,node_id,rssi_dbm,true_rssi,distance_m
R01-L01_N1_S001,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-51.0,-56.65,3.876
R01-L01_N1_S002,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.81,-56.65,3.876
R01-L01_N1_S003,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-60.83,-56.65,3.876
R01-L01_N1_S004,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-62.92,-56.65,3.876
R01-L01_N1_S005,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.53,-56.65,3.876
R01-L01_N1_S006,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.01,-56.65,3.876
R01-L01_N1_S007,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.09,-56.65,3.876
R01-L01_N1_S008,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.28,-56.65,3.876
R01-L01_N1_S009,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-51.02,-56.65,3.876
R01-L01_N1_S010,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-51.41,-56.65,3.876
R01-L01_N1_S011,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.28,-56.65,3.876
R01-L01_N1_S012,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.13,-56.65,3.876
R01-L01_N1_S013,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.65,-56.65,3.876
R01-L01_N1_S014,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.23,-56.65,3.876
R01-L01_N1_S015,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.42,-56.65,3.876
R01-L01_N1_S016,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.43,-56.65,3.876
R01-L01_N1_S017,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-61.32,-56.65,3.876
R01-L01_N1_S018,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.42,-56.65,3.876
R01-L01_N1_S019,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.13,-56.65,3.876
R01-L01_N1_S020,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.7,-56.65,3.876
R01-L01_N1_S021,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.68,-56.65,3.876
R01-L01_N1_S022,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-46.69,-56.65,3.876
R01-L01_N1_S023,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.7,-56.65,3.876
R01-L01_N1_S024,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.27,-56.65,3.876
R01-L01_N1_S025,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.89,-56.65,3.876
R01-L01_N1_S026,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.51,-56.65,3.876
R01-L01_N1_S027,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.35,-56.65,3.876
R01-L01_N1_S028,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.76,-56.65,3.876
R01-L01_N1_S029,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.52,-56.65,3.876
R01-L01_N1_S030,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.68,-56.65,3.876
R01-L01_N1_S031,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.37,-56.65,3.876
R01-L01_N1_S032,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.71,-56.65,3.876
R01-L01_N1_S033,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.2,-56.65,3.876
R01-L01_N1_S034,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.76,-56.65,3.876
R01-L01_N1_S035,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.73,-56.65,3.876
R01-L01_N1_S036,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.3,-56.65,3.876
R01-L01_N1_S037,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-50.9,-56.65,3.876
R01-L01_N1_S038,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-61.05,-56.65,3.876
R01-L01_N1_S039,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-54.38,-56.65,3.876
R01-L01_N1_S040,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.55,-56.65,3.876
R01-L01_N1_S041,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-61.18,-56.65,3.876
R01-L01_N1_S042,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-62.5,-56.65,3.876
R01-L01_N1_S043,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-59.27,-56.65,3.876
R01-L01_N1_S044,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-53.24,-56.65,3.876
R01-L01_N1_S045,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-58.42,-56.65,3.876
R01-L01_N1_S046,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-52.5,-56.65,3.876
R01-L01_N1_S047,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-57.76,-56.65,3.876
R01-L01_N1_S048,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-56.31,-56.65,3.876
R01-L01_N1_S049,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-55.95,-56.65,3.876
R01-L01_N1_S050,R01-L01,1,Left,1,0.53,2.8,0.45,RF_NODE_01_FrontLeft,-52.15,-56.65,3.876
