scene_id,scene_type,true_seat,predicted_seat,correct,position_error_m
single_R01-C01,single,R01-C01,R01-C01,True,0.3330362344971206
single_R01-C02,single,R01-C02,R01-C02,True,0.21089983824611525
single_R01-C03,single,R01-C03,R01-C03,True,0.12857238899033782
single_R01-C04,single,R01-C04,R01-C04,True,0.21470255465600704
single_R01-C05,single,R01-C05,R01-C05,True,0.3374416696153526
single_R02-L02,single,R02-L02,R02-L02,True,0.17042906082182424
single_R02-C01,single,R02-C01,R02-C01,True,0.2577668094067855
single_R02-C02,single,R02-C02,R02-C02,True,0.19478250937795896
single_R02-C03,single,R02-C03,R02-C03,True,0.1600566187939339
single_R02-C04,single,R02-C04,R02-C04,True,0.19656730527852911
single_R02-C05,single,R02-C05,R02-C05,True,0.2602048718010917
single_R02-R01,single,R02-R01,R02-R01,True,0.17882107606685843
single_R03-L01,single,R03-L01,R03-L01,True,0.16510677042889849
single_R03-L02,single,R03-L02,R03-L02,True,0.32725015945818425
single_R03-C01,single,R03-C01,R03-C01,True,0.22320565277472437
single_R03-C02,single,R03-C02,R03-C02,True,0.18154013880974676
single_R03-C03,single,R03-C03,R03-C03,True,0.1600347233543957
single_R03-C04,single,R03-C04,R03-C04,True,0.18267659914545145
single_R03-C05,single,R03-C05,R03-C05,True,0.2248714805759793
single_R03-R01,single,R03-R01,R03-R01,True,0.3293281508145234
single_R03-R02,single,R03-R02,R03-R02,True,0.17148220157685487
single_R04-L01,single,R04-L01,R04-L01,True,0.324828396042997
single_R04-L02,single,R04-L02,R04-L02,True,0.2814816614897037
single_R04-C01,single,R04-C01,R04-C01,True,0.20389717239460053
single_R04-C02,single,R04-C02,R04-C02,True,0.17455782594747474
single_R04-C03,single,R04-C03,R04-C03,True,0.16002347428128424
single_R04-C04,single,R04-C04,R04-C04,True,0.17533762661468388
single_R04-C05,single,R04-C05,R04-C05,True,0.205097955592424
single_R04-R01,single,R04-R01,R04-R01,True,0.28307008872015765
single_R04-R02,single,R04-R02,R04-R02,True,0.32650768141979297
single_R05-L01,single,R05-L01,R05-L01,True,0.2864484144815521
single_R05-L02,single,R05-L02,R05-L02,True,0.2519920156798525
single_R05-C01,single,R05-C01,R05-C01,True,0.1921104687697101
single_R05-C02,single,R05-C02,R05-C02,True,0.17046156819828862
single_R05-C03,single,R05-C03,R05-C03,True,0.16001693399846745
single_R05-C04,single,R05-C04,R05-C04,True,0.17102688541802274
single_R05-C05,single,R05-C05,R05-C05,True,0.19301146723865534
single_R05-R01,single,R05-R01,R05-R01,True,0.25324506758679155
single_R05-R02,single,R05-R02,R05-R02,True,0.2877928845388877
single_R06-L01,single,R06-L01,R06-L01,True,0.2599126646689084
single_R06-L02,single,R06-L02,R06-L02,True,0.23189265418721605
single_R06-C01,single,R06-C01,R06-C01,True,0.18443293651707757
single_R06-C02,single,R06-C02,R06-C02,True,0.1678657770154055
single_R06-C03,single,R06-C03,R06-C03,True,0.1600127897685153
single_R06-C04,single,R06-C04,R06-C04,True,0.16829309881626495
single_R06-C05,single,R06-C05,R06-C05,True,0.1851308347541649
single_R06-R01,single,R06-R01,R06-R01,True,0.23290444172309935
single_R06-R02,single,R06-R02,R06-R02,True,0.2610134358662089
single_R07-L01,single,R07-L01,R07-L01,True,0.2407994839496892
single_R07-L02,single,R07-L02,R07-L02,True,0.21760551796983393
single_R07-C01,single,R07-C01,R07-C01,True,0.17917526769571393
single_R07-C02,single,R07-C02,R07-C02,True,0.1661223020333656
single_R07-C03,single,R07-C03,R07-C03,True,0.16000998924702253
single_R07-C04,single,R07-C04,R07-C04,True,0.16645603519293975
single_R07-C05,single,R07-C05,R07-C05,True,0.17973004366910011
single_R07-R01,single,R07-R01,R07-R01,True,0.21843770663410988
single_R07-R02,single,R07-R02,R07-R02,True,0.24171636073375763
single_R08-L01,single,R08-L01,R08-L01,True,0.22658883119253553
single_R08-L02,single,R08-L02,R08-L02,True,0.20710861009743353
single_R08-C01,single,R08-C01,R08-C01,True,0.17542816571499148
single_R08-C02,single,R08-C02,R08-C02,True,0.16489698539752423
single_R08-C03,single,R08-C03,R08-C03,True,0.16000799778962405
single_R08-C04,single,R08-C04,R08-C04,True,0.16516452092248773
single_R08-C05,single,R08-C05,R08-C05,True,0.17587875959999608
single_R08-R01,single,R08-R01,R08-R01,True,0.20780362030171792
single_R08-R02,single,R08-R02,R08-R02,True,0.22736323577952483
single_R09-L01,single,R09-L01,R09-L01,True,0.21574955597287615
single_R09-L02,single,R09-L02,R09-L02,True,0.19918586354549786
single_R09-C01,single,R09-C01,R09-C01,True,0.1726692585703762
single_R09-C02,single,R09-C02,R09-C02,True,0.16400403776066846
single_R09-C03,single,R09-C03,R09-C03,True,0.1600065203874419
single_R09-C04,single,R09-C04,R09-C04,True,0.1642231213287844
single_R09-C05,single,R09-C05,R09-C05,True,0.17304191632738508
single_R09-R01,single,R09-R01,R09-R01,True,0.19977392265468075
single_R09-R02,single,R09-R02,R09-R02,True,0.21641131652092782
single_R10-L01,single,R10-L01,R10-L01,True,0.20730453226436257
single_R10-L02,single,R10-L02,R10-L02,True,0.1930698190704355
single_R10-C01,single,R10-C01,R10-C01,True,0.17058225151939632
single_R10-C02,single,R10-C02,R10-C02,True,0.1633337406475825
